Name	Set	ImageFile	Type	R	G	B	Y	Rarity	Number	Text
Samurai Champloo	Alpha	alpha_nandeck_01,redback	Red	A	B	_	_	0	APH001	A: Deal 4 damage and
Feral Dog	Alpha	alpha_nandeck_02,redback	Red	A	B	_	_	0	APH002	A: Deal 2 damage. Opponent loses 2 G.
Test of Strength	Alpha	alpha_nandeck_03,redback	Red	A	_	_	B	0	APH003	A: (RRYY) If this card costs more mana than opponent's, deal 8 damage.
Retarded Twitter Take	Alpha	alpha_nandeck_04,redback	Red	A	B	_	_	0	APH004	A: Deal 3 damage. Burn everyone.
please just shut the fuck up	Alpha	alpha_nandeck_05,redback	Red	A	_	_	_	0	APH005	A: Deal 3 damage. Silence opponent.
Weast	Alpha	alpha_nandeck_06,redback	Red	_	B	_	B	0	APH006	B: Deal 3 damage. You opponent loses 5 mana of the same colour as their card.
From Michigan	Alpha	alpha_nandeck_07,redback	Red	A	_	_	B	0	APH007	A: Deal 3 damage, guts.
The Bite of '87	Alpha	alpha_nandeck_08,redback	Red	B	_	_	_	1	APH015	B: Deal 4 damage. Invincible yourself.
Consumed by Cunny	Alpha	alpha_nandeck_09,redback	Red	B	B	_	B	2	APH016	B: Take 5 damage. Gain 3 R.
Red Draw 2	Alpha	alpha_nandeck_10,redback	Red	B	B	_	_	2	APH017	B: Take 15 damage. Draw 2 cards.
Communism	Alpha	alpha_nandeck_11,redback	Red	A	_	_	_	3	APH021	A: Deal 2 damage for each of your R.
Hot Sister	Alpha	alpha_nandeck_12,redback	Red	A	B	_	_	3	APH022	A: Deal 3 damage. All of your mana becomes R.
Ringo, The Unfuckable	Alpha	alpha_nandeck_13,redback	Red	B	_	_	A	3	APH024	A: (RRRRYY) Deal 10 damage.
Hammer & Sickle	Alpha	alpha_nandeck_14,redback	Red	C	_	B	_	3	APH025	C: Deal 5 damage. Berserk <.
Zero Days	Alpha	alpha_nandeck_15,greenback	Green	_	A	_	_	0	APH026	A: Deal 3 damage. Silence opponent.
Drunkposting	Alpha	alpha_nandeck_16,greenback	Green	_	A	_	_	0	APH027	A: Deal 4 damage. Poison everyone.
Morphine	Alpha	alpha_nandeck_17,greenback	Green	_	B	B	B	0	APH028	B: (GG) Protect yourself.
Kill With a Rock	Alpha	alpha_nandeck_18,greenback	Green	_	A	_	B	0	APH029	A: (G) Deal 5 damage.
Blob	Alpha	alpha_nandeck_19,greenback	Green	_	A	_	_	0	APH030	A: Deal 4 damage for each Shield on opponent's card.
Minecrap	Alpha	alpha_nandeck_20,greenback	Green	_	A	B	_	0	APH031	A: Deal 3 damage. Opponent loses 2 G.
Touching Grass	Alpha	alpha_nandeck_21,greenback	Green	_	B	B	B	0	APH032	B: (GGY) Heal 2 HP for each of your opponent's Y.
Mohammed VI, Blazing	Alpha	alpha_nandeck_22,greenback	Green	_	A	B	B	1	APH036	A: Deal 3 damage. Slow opponent.
Bill, On the Top of the Hill	Alpha	alpha_nandeck_23,greenback	Green	_	A	_	B	1	APH037	A: (GG) Deal 5 damage. Double it if you're on the top of the hill (you have the most HP).
COUNTER!	Alpha	alpha_nandeck_24,greenback	Green	_	B	_	_	1	APH040	B: Deal 10 damage. Haste yourself.
Pasta Tier List	Alpha	alpha_nandeck_25,greenback	Green	_	A	_	_	2	APH041	A: (G) Deal 5 damage. Decks are not shuffled at the beginning of the next Draw phase.
GREEN	Alpha	alpha_nandeck_26,greenback	Green	_	A	_	_	3	APH046	A: Deal 2 damage for each of your G.
Come to FSJ	Alpha	alpha_nandeck_27,greenback	Green	_	B	B	_	3	APH047	B: (GG) All of your mana becomes G.
THE ONE PIECE IS REAL	Alpha	alpha_nandeck_28,greenback	Green	B	_	A	_	3	APH049	A: (GGGBBBY) Set your current and maximum HP to 30.
Pot Buster	Alpha	alpha_nandeck_29,greenback	Green	B	C	_	_	3	APH050	C: Deal 3 damage for each Shield on opponent's card.
Padoru Padoru	Alpha	alpha_nandeck_30,blueback	Blue	_	_	A	_	0	APH051	A: Deal 3 damage. Freeze opponent.
Bear Obama	Alpha	alpha_nandeck_31,blueback	Blue	B	_	A	_	0	APH052	A: (B) Deal 3 damage. Your opponent loses 3 R.
ur muted btw	Alpha	alpha_nandeck_32,blueback	Blue	B	_	A	_	0	APH053	A: Deal 2 damage. Silence opponent.
I Am So Happy About This Information	Alpha	alpha_nandeck_33,blueback	Blue	B	B	B	B	0	APH054	B: You may search your deck for Just a Week Away and add it to your hand.
TOTSUGEKI!	Alpha	alpha_nandeck_34,blueback	Blue	B	_	A	_	0	APH055	A: (B) Deal 3 damage for each Shield on opponent's card.
fortnite funnie s compilation #3	Alpha	alpha_nandeck_35,blueback	Blue	B	B	B	_	0	APH056	B: Deal 3 damage. Heal 3 HP. Steal 3 B from your opponent.
HATSUNE MIKU?!?!?!	Alpha	alpha_nandeck_36,blueback	Blue	_	_	A	_	0	APH057	A: Deal 3 damage. Opponent loses all mana of their most abundant colour.
Psychic Vampire	Alpha	alpha_nandeck_37,blueback	Blue	_	_	A	_	1	APH061	A: Deal 2 damage. Steal 3 of opponent's B.
Elsa Female	Alpha	alpha_nandeck_38,blueback	Blue	B	B	_	_	1	APH062	B: (B) Deal 2 damage. Restore 2 HP. Freeze.
Counterspell	Alpha	alpha_nandeck_39,blueback	Blue	_	_	B	_	1	APH065	B: Add Counterspell from Magic the Gathering to your hand.
Blue Eyes White Dragon	Alpha	alpha_nandeck_40,blueback	Blue	_	_	A	_	2	APH066	A: (BBBBBBBBBB) Special Summon Blue Eyes White Dragon to your side of the field in Attack position.
Cipher Eagle	Alpha	alpha_nandeck_41,blueback	Blue	_	_	A	_	2	APH070	A: Opponent heals 3 HP then takes 3 damage. Opponent takes 3 damage then heals 3 HP. Burn, Poison, Freeze, and Numb yourself, then Refresh yourself. Stim yourself and Protect your opponent. Opponent gains 1 R, 1 G, 1 B, 1 Y, then opponent loses 1 R, 1 G, 1 B, 1 Y.
I'm Blue	Alpha	alpha_nandeck_42,blueback	Blue	_	_	A	_	3	APH071	A: Deal 2 damage for each of your B.
Hydrated	Alpha	alpha_nandeck_43,blueback	Blue	_	B	B	_	3	APH072	B: (GBB) All of your opponent's mana becomes B.
Hydrated2	Alpha	alpha_nandeck_44,blueback	Blue	_	_	C	_	3	APH072-2	C: (GBB) All of your opponent's mana becomes B.
